"Code du département","Libellé du département","Code commune","Libellé commune","N Panneau Liste","Libellé abrégé liste","Libellé Etendu Liste","Nuance Liste","N candidat","Sexe candidat","Nom candidat","Prénom candidat","Candidat au conseil communautaire"
33,"Gironde",200,"Le Haillan",3,"LHTAV","LE HAILLAN, TOUJOURS AVEC VOUS","LUG",1,"F","KISS","Andrea","O"
33,"Gironde",249,"Lormont",1,"LVF","LORMONT, VILLE FRANÇAISE","LRN",1,"F","RECHAGNEUX","Julie","O"
33,"Gironde",249,"Lormont",2,"NOUS, LORMONT","NOUS, LORMONT","LDVG",1,"M","TOUZEAU","Jean","O"
33,"Gironde",249,"Lormont",3,"APLDTEDLJ","Anticapitaliste pour les luttes des travailleurs et de la jeunesse","LEXG",1,"F","CASANOVA","Monica","O"
33,"Gironde",249,"Lormont",4,"NL","Naturellement Lormont","LDVC",1,"M","BORDENAVE","Mathieu","O"
33,"Gironde",273,"Martignas-sur-Jalle",1,"POUR MARTIGNAS","Pour Martignas, partageons un avenir durable.","LDVG",1,"M","BARDON","Jean-Luc","O"
33,"Gironde",273,"Martignas-sur-Jalle",2,"OSONS MARTIGNAS 2020","OSONS MARTIGNAS 2020","LDIV",1,"M","PESCINA","Jérôme","O"
33,"Gironde",281,"Mérignac",1,"ANTICAPITALISTES ! LUTTES","Anticapitalistes ! Pour les luttes des travailleurs et des classes populaires","LEXG",1,"M","MINVIELLE","François","O"
33,"Gironde",281,"Mérignac",2,"EPVD","Ensemble Pour Une Ville Durable","LDVD",1,"M","MILLET","Thierry","O"
33,"Gironde",281,"Mérignac",3,"ENSM","Ensemble, nous sommes Mérignac","LDVG",1,"M","ANZIANI","Alain","O"
33,"Gironde",281,"Mérignac",4,"LO - CAMP TRAVAILLEURS","Lutte ouvrière - Faire entendre le camp des travailleurs","LEXG",1,"M","PERCHET","Guillaume","O"
33,"Gironde",281,"Mérignac",5,"RP MÉRIGNAC","Rassemblement pour Mérignac","LRN",1,"M","CARAMONA","Hervé","O"
33,"Gironde",281,"Mérignac",6,"MÉRIGNAC ECOLO ET SOL","Mérignac Ecologiste et Solidaire","LVEC",1,"F","CASSOU-SCHOTTE","Sylvie","O"
33,"Gironde",281,"Mérignac",7,"RENOUVEAU MERIGNAC","RENOUVEAU MERIGNAC","LREM",1,"M","SORIN","Bruno","O"
33,"Gironde",281,"Mérignac",8,"MERIGNAC EN COMMUN","MERIGNAC EN COMMUN","LFI",1,"F","DURET-PUJOL","Marie","O"
33,"Gironde",312,"Parempuyre",1,"VIVONS PAREMPUYRE","Vivons Parempuyre","LDVG",1,"F","DE FRANÇOIS","Béatrice","O"
33,"Gironde",312,"Parempuyre",2,"PAREMPUYRE AVENIR","PAREMPUYRE AVENIR","LDVD",1,"M","LAGARRIGUE","Henri","O"
33,"Gironde",318,"Pessac",1,"RPE","REINVENTONS PESSAC ENSEMBLE","LDVG",1,"M","SAINT-PASTEUR","Sébastien","O"
33,"Gironde",318,"Pessac",2,"NP","Naturellement Pessac","LDVD",1,"M","RAYNAL","Franck","O"
33,"Gironde",318,"Pessac",3,"PESSAC AVANT TOUT","PESSAC AVANT TOUT","LDIV",1,"M","RYBAK","David","O"
33,"Gironde",318,"Pessac",4,"ANTICAPITALISTES !","Aniticapitalistes ! Pour les travailleurs et les classes populaires.","LEXG",1,"F","UFFERTE","Isabelle","O"
33,"Gironde",318,"Pessac",5,"L'ÉCOLOGIE POUR PESSAC","L'ÉCOLOGIE POUR PESSAC","LDVG",1,"F","CURVALE","Laure","O"
33,"Gironde",376,"Saint-Aubin-de-Médoc",1,"VSA","Vivre Saint-Aubin","LREM",1,"M","CAVALLIER","Franck","O"
33,"Gironde",376,"Saint-Aubin-de-Médoc",2,"APSA","AGIR POUR SAINT-AUBIN","LDVD",1,"M","DUPRAT","Christophe","O"
33,"Gironde",434,"Saint-Louis-de-Montferrand",1,"VEASL","Vivre ensemble à Saint-Louis",,1,"F","ZAMBON","Josiane","O"
33,"Gironde",449,"Saint-Médard-en-Jalles",1,"MIEUX VIVRE SAINT MÉDARD","Mieux Vivre Saint-Médard","LDIV",1,"M","BESSIERE","Stephane","O"
33,"Gironde",449,"Saint-Médard-en-Jalles",2,"SMEJD 2020","Saint-Médard-en-Jalles DEMAIN 2020","LDIV",1,"F","MARENZONI","Cécile","O"
33,"Gironde",449,"Saint-Médard-en-Jalles",3,"SMN","SAINT-MEDARD NATURELLEMENT !","LDVC",1,"M","MANGON","Jacques","O"
33,"Gironde",449,"Saint-Médard-en-Jalles",4,"SM PV","Saint Médard Pour Vous","LDVG",1,"M","DELPEYRAT","Stéphane","O"
33,"Gironde",487,"Saint-Vincent-de-Paul",1,"SVDP - UN SOUFFLE NOUVEAU","Saint-Vincent-de-Paul - Un souffle nouveau",,1,"M","BÉRAUD-SUDREAU","Gilles","O"
33,"Gironde",487,"Saint-Vincent-de-Paul",2,"TEPADSVDP","Tous ensemble pour l'avenir de Saint-Vincent-de-Paul",,1,"M","COLÈS","Max","O"
33,"Gironde",519,"Le Taillan-Médoc",1,"LET","L'Esprit Taillan","LDVC",1,"F","VERSEPUY","Agnès","O"
